case no. in WK,win/loss,year,issue,us p/d,case official no.,case name
373,1,2017,trademark,p,(2017)京73行初2953号,美国柏斯特啤酒有限责任公司与国家工商行政管理总局商标评审委员会一审行政判决书
375,0,2017,contract,p,(2017)粤2071民初5875号,美国加州品味与何美娟买卖合同纠纷一审民事判决书
379,0,2017,trademark,p,(2017)京73行初2843号,UTC消防安全美国有限公司与国家工商行政管理总局商标评审委员会一审行政判决书
382,0,2017,trademark,p,(2017)京73行初1258号,美国雅诚健康有限公司诉国家工商行政管理总局商标评审委员会其他一案一审行政判决书
10,1,2016,trademark,p,(2016)京0105民初33338号,
84,1,2016,copyright,p,(2016)沪0104民初16755号,美国特许金融分析师协会与上海道明诚教育科技发展有限公司、余润著作权权属、侵权纠纷一审民事判决书
88,0,2016,trademark,p,(2016)京73行初1769号,雅孚顿（美国）国际石油集团有限公司与国家工商行政管理总局商标评审委员会其他一审行政判决书
89,0,2016,trademark,p,(2016)京73行初1768号,雅孚顿（美国）国际石油集团有限公司与国家工商行政管理总局商标评审委员会其他一审行政判决书
222,0,2016,trademark,p,(2016)京73行初5711号,美国俱乐部与国家工商行政管理总局商标评审委员会一审行政判决书
223,0,2016,trademark,p,(2016)京73行初5721号,美国俱乐部与国家工商行政管理总局商标评审委员会一审行政判决书
224,0,2016,trademark,p,(2016)京73行初5726号,美国俱乐部与国家工商行政管理总局商标评审委员会一审行政判决书
225,0,2016,trademark,p,(2016)京73行初5725号,美国俱乐部与国家工商行政管理总局商标评审委员会一审行政判决书
226,0,2016,trademark,p,(2016)京73行初5715号,美国俱乐部与国家工商行政管理总局商标评审委员会一审行政判决书
227,0,2016,trademark,p,(2016)京73行初5722号,美国俱乐部与国家工商行政管理总局商标评审委员会一审行政判决书
228,0,2016,trademark,p,(2016)京73行初5716号,美国俱乐部与国家工商行政管理总局商标评审委员会一审行政判决书
229,0,2016,trademark,p,(2016)京73行初5719号,美国俱乐部与国家工商行政管理总局商标评审委员会一审行政判决书
230,0,2016,trademark,p,(2016)京73行初5727号,美国俱乐部与国家工商行政管理总局商标评审委员会一审行政判决书
231,0,2016,trademark,p,(2016)京73行初5729号,美国俱乐部与国家工商行政管理总局商标评审委员会一审行政判决书
232,0,2016,trademark,p,(2016)京73行初5728号,美国俱乐部与国家工商行政管理总局商标评审委员会一审行政判决书
233,0,2016,trademark,p,(2016)京73行初5723号,美国俱乐部与国家工商行政管理总局商标评审委员会一审行政判决书
234,0,2016,trademark,p,(2016)京73行初5724号,美国俱乐部与国家工商行政管理总局商标评审委员会一审行政判决书
235,0,2016,trademark,p,(2016)京73行初5718号,美国俱乐部与国家工商行政管理总局商标评审委员会一审行政判决书
236,0,2016,trademark,p,(2016)京73行初5710号,美国俱乐部与国家工商行政管理总局商标评审委员会一审行政判决书
237,0,2016,trademark,p,(2016)京73行初5730号,美国俱乐部与国家工商行政管理总局商标评审委员会一审行政判决书
238,0,2016,trademark,p,(2016)京73行初5717号,美国俱乐部与国家工商行政管理总局商标评审委员会一审行政判决书
239,0,2016,trademark,p,(2016)京73行初5712号,美国俱乐部与国家工商行政管理总局商标评审委员会一审行政判决书
240,0,2016,trademark,p,(2016)京73行初5714号,美国俱乐部与国家工商行政管理总局商标评审委员会一审行政判决书
241,0,2016,trademark,p,(2016)京73行初5732号,美国俱乐部与国家工商行政管理总局商标评审委员会一审行政判决书
242,0,2016,trademark,p,(2016)京73行初5713号,美国俱乐部与国家工商行政管理总局商标评审委员会一审行政判决书
243,0,2016,trademark,p,(2016)京73行初5720号,美国俱乐部与国家工商行政管理总局商标评审委员会一审行政判决书
244,0,2016,trademark,p,(2016)京73行初5731号,美国俱乐部与国家工商行政管理总局商标评审委员会一审行政判决书
307,1,2016,trademark,p,(2016)京73行初6943号,菲亚特克莱斯勒美国有限公司与国家工商行政管理总局商标评审委员会其他一审行政判决书
308,0,2016,trademark,p,(2016)京73行初5975号,国家工商行政管理总局商标评审委员会一审行政判决书
309,0,2016,trademark,p,(2016)京73行初5974号, 国家工商行政管理总局商标评审委员会一审行政判决书 
317,1,2016,trademark,p,(2016)京73行初1193号,美国鞋业有限公司与国家工商行政管理总局商标评审委员会一审行政判决书
318,1,2016,trademark,p,(2016)京73行初799号,美国鞋业有限公司与国家工商行政管理总局商标评审委员会一审行政判决书
319,1,2016,trademark,p,(2016)京73行初800号,美国鞋业有限公司与国家工商行政管理总局商标评审委员会一审行政判决书
